Text Query ID,Model Multiview ID
text_1,Object_60_Angle_0.png
text_1,Object_60_Angle_1.png
text_1,Object_60_Angle_2.png
text_1,Object_60_Angle_3.png
text_1,Object_60_Angle_4.png
text_1,Object_60_Angle_5.png
text_1,Object_60_Angle_6.png
text_1,Object_60_Angle_7.png
text_1,Object_60_Angle_8.png
text_1,Object_60_Angle_9.png
text_1,Object_60_Angle_10.png
text_1,Object_60_Angle_11.png
text_1,Object_180_Angle_0.png
text_1,Object_180_Angle_1.png
text_1,Object_180_Angle_2.png
text_1,Object_180_Angle_3.png
text_1,Object_180_Angle_4.png
text_1,Object_180_Angle_5.png
text_1,Object_180_Angle_6.png
text_1,Object_180_Angle_7.png
text_1,Object_180_Angle_8.png
text_1,Object_180_Angle_9.png
text_1,Object_180_Angle_10.png
text_1,Object_180_Angle_11.png
text_1,Object_369_Angle_0.png
text_1,Object_369_Angle_1.png
text_1,Object_369_Angle_2.png
text_1,Object_369_Angle_3.png
text_1,Object_369_Angle_4.png
text_1,Object_369_Angle_5.png
text_1,Object_369_Angle_6.png
text_1,Object_369_Angle_7.png
text_1,Object_369_Angle_8.png
text_1,Object_369_Angle_9.png
text_1,Object_369_Angle_10.png
text_1,Object_369_Angle_11.png
text_1,Object_513_Angle_0.png
text_1,Object_513_Angle_1.png
text_1,Object_513_Angle_2.png
text_1,Object_513_Angle_3.png
text_1,Object_513_Angle_4.png
text_1,Object_513_Angle_5.png
text_1,Object_513_Angle_6.png
text_1,Object_513_Angle_7.png
text_1,Object_513_Angle_8.png
text_1,Object_513_Angle_9.png
text_1,Object_513_Angle_10.png
text_1,Object_513_Angle_11.png
text_2,Object_318_Angle_0.png
text_2,Object_318_Angle_1.png
text_2,Object_318_Angle_2.png
text_2,Object_318_Angle_3.png
text_2,Object_318_Angle_4.png
text_2,Object_318_Angle_5.png
text_2,Object_318_Angle_6.png
text_2,Object_318_Angle_7.png
text_2,Object_318_Angle_8.png
text_2,Object_318_Angle_9.png
text_2,Object_318_Angle_10.png
text_2,Object_318_Angle_11.png
text_2,Object_596_Angle_0.png
text_2,Object_596_Angle_1.png
text_2,Object_596_Angle_2.png
text_2,Object_596_Angle_3.png
text_2,Object_596_Angle_4.png
text_2,Object_596_Angle_5.png
text_2,Object_596_Angle_6.png
text_2,Object_596_Angle_7.png
text_2,Object_596_Angle_8.png
text_2,Object_596_Angle_9.png
text_2,Object_596_Angle_10.png
text_2,Object_596_Angle_11.png
text_2,Object_537_Angle_0.png
text_2,Object_537_Angle_1.png
text_2,Object_537_Angle_2.png
text_2,Object_537_Angle_3.png
text_2,Object_537_Angle_4.png
text_2,Object_537_Angle_5.png
text_2,Object_537_Angle_6.png
text_2,Object_537_Angle_7.png
text_2,Object_537_Angle_8.png
text_2,Object_537_Angle_9.png
text_2,Object_537_Angle_10.png
text_2,Object_537_Angle_11.png
text_2,Object_313_Angle_0.png
text_2,Object_313_Angle_1.png
text_2,Object_313_Angle_2.png
text_2,Object_313_Angle_3.png
text_2,Object_313_Angle_4.png
text_2,Object_313_Angle_5.png
text_2,Object_313_Angle_6.png
text_2,Object_313_Angle_7.png
text_2,Object_313_Angle_8.png
text_2,Object_313_Angle_9.png
text_2,Object_313_Angle_10.png
text_2,Object_313_Angle_11.png
text_3,Object_276_Angle_0.png
text_3,Object_276_Angle_1.png
text_3,Object_276_Angle_2.png
text_3,Object_276_Angle_3.png
